数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：重庆市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),4439.3,4034.95,3669.24,3321.82,2829.97,2454.17,2127.93,1634.12,1236.6,878.23,477.2,,4248.76,3861.25,3469.47,3134.65,2632.02,2272.61,1967.85,1461.72,1099.66,798.12,413.64,,3980.08,3575.3,3193.17,2880.42,2427.33,2085.12,1789.24,1333.59,1015.95,740.66,392.87,
房地产投资累计增长(%),4.5,4.5,5.8,6,7.5,8,8.1,11.8,12.5,10,15.4,,6.8,8,8.7,8.8,8.4,9,10,9.6,8.2,7.8,5.3,,6.8,7.9,7.7,7.5,6.4,4.6,3.8,0.9,0.4,-0.8,-1.8,
房地产住宅投资累计值(亿元),3246.77,2960.86,2684.54,2415.76,2056.73,1768.27,1531.94,1180.57,879.72,612.92,346.02,,3012.65,2765.18,2486.85,2247.11,1867.11,1615.4,1393.29,1026.32,756.99,543.5,259.22,,2632.88,2355,2106.48,1894.67,1603.43,1359.64,1167.52,872.34,645.3,474.62,242,
房地产住宅投资累计增长(%),7.8,7.1,7.9,7.5,10.2,9.5,10,15,16.2,12.8,33.5,,14.4,17.4,18.1,18.6,16.4,18.8,19.3,17.7,17.3,14.5,7.1,,13.5,15.2,15.3,14.8,14.2,10.3,10,7.2,5.6,7.6,0.6,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
