数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：甘肃省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),1257.85,1172.47,1055.73,923.19,739.76,604.99,480.02,304.92,185.4,106.34,34.42,,1116.39,1054.72,965.85,849.49,696.83,572.87,461.23,267.62,167.73,89.1,28.93,,944.52,894.73,818.51,719.2,625.96,520.54,415.9,260.33,140.58,73.07,21.82,
房地产投资累计增长(%),12.7,11.2,9.3,8.7,6.2,5.6,4.1,13.9,10.5,19.3,19,,18.2,17.9,18,18.1,11.3,10.1,10.9,2.8,19.3,21.9,32.5,,11.1,12.5,12.8,15.1,19.1,19.3,18.7,16.9,7.9,7.1,10.6,
房地产住宅投资累计值(亿元),865.93,808.64,721.07,624.97,492.97,397.73,312.21,199.68,123.38,69.08,21.55,,672.35,636.85,578.59,506.58,417.07,343.88,274.9,160.54,98.95,52.11,16.6,,601.25,570.41,524.47,462.16,402.76,336.05,264.93,168.59,90.63,46.8,13.83,
房地产住宅投资累计增长(%),28.8,27,24.6,23.4,18.2,15.7,13.6,24.4,24.7,32.6,29.8,,11.8,11.6,10.3,9.6,3.6,2.3,3.8,-4.8,9.2,11.3,20,,6.7,7.6,8.1,9.8,12.9,14,11.1,10.4,-1.2,-4.5,7.2,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
