数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：江西省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),2239.11,2083.23,1895.22,1709.74,1477.49,1247.72,1025.11,816.08,623.9,440.9,241.04,,2174.93,2019.53,1818.39,1620.73,1378.77,1173.11,973.01,750.06,569.87,405.5,226.95,,2013.98,1839.79,1660.02,1479.97,1265.73,1083.58,906.41,706.41,530.78,386.59,217.04,
房地产投资累计增长(%),3,3.2,4.2,5.5,7.2,6.4,5.4,8.8,9.5,8.7,6.2,,8,9.8,9.5,9.5,8.9,8.3,7.3,6.2,7.4,4.9,4.6,,13.7,14.6,15.5,15.4,16,17.9,18,18.4,20.5,23.8,14.4,
房地产住宅投资累计值(亿元),1687.18,1572.67,1425.36,1288.02,1103.02,937.37,772.44,612.71,466.36,327.95,178.45,,1590.64,1478.45,1332.15,1180.84,994.09,844.61,707.02,538.49,403.47,284.78,154.43,,1391.79,1271.35,1145.19,1016.62,863.1,736.94,619.04,485.28,365.13,270.21,148.92,
房地产住宅投资累计增长(%),6.1,6.4,7,9.1,11,11,9.3,13.8,15.6,15.2,15.6,,14.3,16.3,16.3,16.2,15.2,14.6,14.2,11,10.5,5.4,3.7,,11.6,11.9,12.5,12.4,12.8,14.7,14.1,14.7,17.5,22.3,11.1,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
