数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：广西壮族自治区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),3814.41,3323.41,2903.64,2574.82,2264.58,1957,1738.26,1271.92,958.23,657.44,284.6,,3004.13,2632.57,2303.63,2000.44,1761.73,1557.51,1367.68,997.56,750.44,512.89,233.88,,2683.48,2365.29,2038.68,1761.92,1564.81,1373.39,1217.67,882.68,676.53,464.05,215.59,
房地产投资累计增长(%),27,26.2,26,28.7,28.5,25.6,27.1,27.5,27.7,28.2,21.7,,11.9,11.3,13,13.5,12.6,13.4,12.3,13,10.9,10.5,8.5,,11.9,16.8,20.3,21,23.5,24.4,29.3,31.9,33.1,31.9,26,
房地产住宅投资累计值(亿元),2924.18,2569.74,2245.3,1982.86,1748.08,1514.17,1347.6,997.88,747.81,511.46,216.64,,2217.5,1951.15,1694.79,1464.63,1301.4,1151.19,1000.66,743.06,557.69,380.87,172.74,,1983.52,1744.54,1494.42,1293.69,1144.32,1000.64,885.82,649.17,502.12,335.25,157.11,
房地产住宅投资累计增长(%),31.9,31.7,32.5,35.4,34.3,31.5,34.7,34.3,34.1,34.3,25.4,,11.8,11.8,13.4,13.2,13.7,15,13,14.5,11.1,13.6,10,,15,21.1,24.1,25.6,27.9,26.2,30.2,34.2,36.7,31.1,24.4,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
