数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：山东省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),8614.89,7948.48,7179.87,6384.89,5588.14,4854.95,4072.71,3069.68,2265.87,1543.5,766.1,,7552.97,6921.89,6250.46,5590.83,4888.04,4243.9,3550.31,2641.13,1933.81,1287,615,,6637.25,6122.99,5570.35,4985.28,4347.29,3789.44,3197.55,2385.71,1751.4,1159.6,573.15,
房地产投资累计增长(%),14.1,14.8,14.9,14.2,14.3,14.4,14.7,16.2,17.2,19.9,24.6,,13.8,13,12.2,12.1,12.4,12,11,10.7,10.4,11,7.3,,5,7.4,8.6,8.8,9.5,9.8,10.1,9.6,9.4,9.5,8.7,
房地产住宅投资累计值(亿元),6672.22,6142.64,5545.87,4931.82,4310.1,3731.27,3119.67,2348.37,1730.5,1184.65,578.55,,5717.52,5242.33,4727.29,4218.13,3687.72,3188.25,2660.81,1984.01,1454.25,964.9,453.48,,4929.53,4538.7,4112.25,3683.2,3205.01,2790.44,2343.28,1737.77,1269.74,847.31,424.92,
房地产住宅投资累计增长(%),16.7,17.2,17.3,16.9,16.9,17,17.2,18.4,19,22.8,27.6,,16,15.5,15,14.5,15.1,14.3,13.6,14.2,14.5,13.9,6.7,,5.1,7.6,8.5,9.3,10.4,10.9,11.1,8.3,7,9.9,9.5,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
