数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：云南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),4151.41,3658.06,3200.21,2843.93,2407.85,2043.45,1729.11,1313.43,993.7,740.48,337.58,,3247.23,2915.67,2576.96,2192.86,1832.35,1598.34,1342.21,989.21,779.86,571.71,265.39,,2786.25,2552.29,2234.3,1935.99,1644.1,1430.24,1224.33,911.42,705.44,502.78,242.92,
房地产投资累计增长(%),27.8,25.5,24.2,29.7,31.4,27.8,28.8,32.8,27.4,29.5,27.2,,16.5,14.2,15.3,13.3,11.5,11.8,9.6,8.5,10.5,13.7,9.3,,3.6,4.7,5,0.9,-1.6,-3.4,-2.5,2.1,1.4,3.6,1,
房地产住宅投资累计值(亿元),3028.96,2685.96,2352.36,2091.52,1769.01,1479.28,1254.05,957.4,722.26,541.51,246.9,,2115.17,1885.88,1645.41,1388.54,1164.28,1014.23,836.21,618.25,482.68,350.1,167.77,,1743.91,1577.17,1371.48,1188.29,994.11,867.7,737.63,541.33,414.34,292.29,139.12,
房地产住宅投资累计增长(%),43.2,42.4,43,50.6,51.9,45.9,50,54.9,49.6,54.7,47.2,,21.3,19.6,20,16.9,17.1,16.9,13.4,14.2,16.5,19.8,20.6,,6.6,6.5,5.5,1.3,-3.1,-5.2,-7.5,-4.9,-5.2,-4.9,-9.4,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
