数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),4445.47,4005.53,3576.93,3130.85,2653.36,2220.38,1867.66,1389.01,1032.57,686.88,370.97,,3945.95,3531.17,3142.87,2738.47,2314.56,1930.29,1614.93,1186.25,878.22,598.71,316.45,,3426.13,3060.06,2701.52,2368.03,2031.56,1734.03,1466.42,1071.89,770.77,525.34,281.51,
房地产投资累计增长(%),12.7,13.4,13.8,14.3,14.6,15,15.6,17.1,17.6,14.7,17.2,,15.2,15.4,16.3,15.6,13.9,11.3,10.1,10.7,13.9,14,12.4,,15.9,15,15.4,14.9,15.9,15.1,14.7,15.2,10.1,4.5,12.8,
房地产住宅投资累计值(亿元),3197.35,2866.7,2547.7,2214.21,1878.77,1568.38,1309.76,977.37,716.61,483.29,262.43,,2764.48,2458.84,2183.41,1897.41,1599,1337.15,1115.29,811.53,604.33,407.33,217.11,,2194.41,1941.72,1694.03,1467.66,1248.96,1082.22,902.77,666.54,487.49,345.02,186.67,
房地产住宅投资累计增长(%),15.7,16.6,16.7,16.7,17.5,17.3,17.4,20.4,18.6,18.6,20.9,,26,26.6,28.9,29.3,28,23.6,23.5,21.8,24,18.1,16.3,,17.3,15.3,14.2,11.8,11.4,11.5,8.2,7,4,3.7,9.2,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
