数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：安徽省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),6670.48,6160.13,5722.98,5278.95,4671.79,4022.94,3387.07,2640.37,1945.61,1315.92,706.07,,5974.11,5538.02,5161.66,4748.56,4208.32,3623.83,3067.76,2405.6,1782.42,1222.83,650.86,,5612.47,5075.51,4594.42,4085.37,3495.25,2955.72,2503.8,1966.51,1464.29,997.49,535.17,
房地产投资累计增长(%),11.7,11.2,10.9,11.2,11,11,10.4,9.8,9.2,7.6,8.5,,6.4,9.1,12.3,16.2,20.4,22.6,22.5,22.3,21.7,22.6,21.6,,21.9,22.3,21.6,20.9,17.8,14.5,14.3,15,13.7,8.9,7.1,
房地产住宅投资累计值(亿元),5248.06,4840.86,4496.7,4149.05,3636.22,3126.84,2630.12,2046.1,1496.64,1013.69,539.48,,4563.41,4228.17,3940.08,3612.64,3184.06,2721.85,2292.08,1791.77,1319.72,896.61,481.47,,4007,3627.71,3293.2,2927.48,2479.92,2092.38,1754.42,1359.15,999.19,684.03,364.58,
房地产住宅投资累计增长(%),15,14.5,14.1,14.8,14.2,14.9,14.7,14.2,13.4,13.1,12,,13.9,16.6,19.6,23.4,28.4,30.1,30.6,31.8,32.1,31.1,32.1,,30.5,31.5,32.8,32.6,27.2,22.8,20.9,20,16.5,16.2,12.8,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
