数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：青海省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),406.29,394.85,340.25,288.92,250.23,211.8,159.41,77.05,39.88,11.23,0.73,,351.82,344.33,310.66,272.18,262.18,213.38,161.44,99.49,54.57,18.7,1.56,,408.59,407.49,359.87,302.61,251.69,196.2,142.61,82.04,47.87,14.94,3.07,
房地产投资累计增长(%),15.5,14.7,9.5,6.1,-4.6,-0.7,-1.3,-22.6,-26.9,-39.9,-52.9,,-13.9,-15.5,-13.7,-10.1,4.2,8.8,13.2,21.3,14,25.2,-49.2,,2.9,3.9,2.7,2.8,0.6,-3.4,-5.9,-10.4,-5.3,3.6,17.4,
房地产住宅投资累计值(亿元),294.08,286.15,246.04,207,178.81,151.57,113.18,52.06,26.32,6.75,0.58,,215.89,211.1,190.88,164.82,158.44,127.05,95.8,62.02,34,9.96,0.66,,213.66,215.01,188.81,159.2,133.88,105.17,79.07,45.53,26.47,7.41,2.08,
房地产住宅投资累计增长(%),36.2,35.6,28.9,25.6,12.9,19.3,18.1,-16.1,-22.6,-32.3,-12.2,,1,-1.8,1.1,3.5,18.3,20.8,21.2,36.2,28.4,34.4,-68.3,,-6.2,-4.3,-7.2,-8.2,-7.8,-8.2,-6.1,-5.1,9.3,5,17.4,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
