数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：海南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),1336.18,1141.97,987.27,863.35,753.87,659.52,565.33,453.65,358.55,270.43,148.72,,1715.04,1525.03,1339.35,1200.83,1087.28,957.84,823.86,677.14,543.59,413.54,229.91,,2053.11,1748.68,1568.5,1414.62,1251.97,1052.18,893.15,659.23,487.72,355.17,202.74,
房地产投资累计增长(%),-22.1,-25.1,-26.3,-28.1,-30.7,-31.1,-31.4,-33,-34,-34.6,-35.3,,-16.5,-12.8,-14.6,-15.1,-13.2,-9,-7.8,2.7,11.5,16.4,13.4,,14.9,10.5,11,11.5,14.1,9.7,10.3,7.8,10.4,13.3,14,
房地产住宅投资累计值(亿元),1034.86,884.32,761.34,654.42,574.53,501.55,434.37,354.78,282.08,211.04,116.11,,1310.51,1183.51,1037.47,932.91,841.04,738.24,630.95,518.83,417.03,312.79,177.61,,1477.53,1256.98,1120.68,1000.33,886.29,760.38,651.43,499.82,378.36,274.51,151.39,
房地产住宅投资累计增长(%),-21,-25.3,-26.6,-29.9,-31.7,-32.1,-31.2,-31.6,-32.4,-32.5,-34.6,,-11.3,-5.8,-7.4,-6.7,-5.1,-2.9,-3.1,3.8,10.2,13.9,17.3,,12.1,8.2,7.7,6.4,8.2,4.9,5.8,9.5,14.7,20,23.5,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
