数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：湖北省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),5111.73,4699.57,4356.88,3927.55,3432.74,2969.17,2599.74,1856.9,1432,978.39,421.12,,4693.12,4303.29,3991.96,3608.69,3177.43,2757.34,2409.34,1714.57,1317.01,915.49,394.4,,4574.89,4231.61,3813.01,3448.34,2975.05,2567.73,2220.14,1547.73,1162.96,806.53,367.12,
房地产投资累计增长(%),8.9,9.2,9.1,8.8,8,7.7,7.9,8.3,8.7,6.9,6.8,,2.6,1.7,4.7,4.7,6.8,7.4,8.5,10.8,13.2,13.5,7.4,,6.5,8.6,8.4,8.6,8.1,8.8,13.3,14.1,15.2,15.5,13.1,
房地产住宅投资累计值(亿元),3954.72,3620.95,3360.09,3020.06,2637.94,2266.8,1963.91,1415.85,1084.44,742.68,321.99,,3464.59,3156.43,2933.09,2627.79,2311.07,1999.58,1736.96,1257.26,951.75,653.25,280.78,,3235.42,2994.54,2675.74,2420.27,2083.61,1798.72,1553.76,1086.42,816.92,550.55,264.9,
房地产住宅投资累计增长(%),14.1,14.7,14.6,14.9,14.1,13.4,13.1,12.6,13.9,13.7,14.7,,7.1,5.4,9.6,8.6,10.9,11.2,11.8,15.7,16.5,18.7,6,,7.4,10.2,8.2,8.1,6.9,7.7,11.3,12.1,11.7,6.9,10.4,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
