数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：福建省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),5673.13,5252.96,4773.63,4303.23,3730.74,3290.83,2826.9,2260.03,1796.77,1306.38,648.82,,4940.34,4522.27,4112.24,3685.11,3186.28,2804.84,2404.92,1898.48,1502.59,1109.32,550.79,,4794.23,4385.97,3989.1,3539.09,3098.12,2714.79,2365.93,1797.84,1423.98,1076.52,548.97,
房地产投资累计增长(%),14.8,16.2,16.1,16.8,17.1,17.3,17.5,19,19.6,17.8,17.8,,3,3.1,3.1,4.1,2.8,3.3,1.6,5.6,5.5,3,0.3,,4.5,4.2,4.9,2.4,1.7,2.2,2.2,-0.9,0.4,-1.7,-7.9,
房地产住宅投资累计值(亿元),4076.31,3787.25,3447.37,3112.51,2688.41,2362.13,2016.74,1583.76,1241.31,892.9,456.85,,3456.86,3153.12,2867.59,2576.23,2228.65,1957.43,1652.49,1288.26,1020.41,746.84,368.71,,3236.51,2957.02,2683.36,2390.76,2089.25,1806.35,1557.69,1136.81,916.77,697.89,356.79,
房地产住宅投资累计增长(%),17.9,20.1,20.2,20.8,20.6,20.7,22,22.9,21.6,19.6,23.9,,6.8,6.6,6.9,7.8,6.7,8.4,6.1,13.3,11.3,7,3.3,,7.9,7.6,8.9,7.1,6.9,6.4,4,-2.2,1.6,-1.5,-6.8,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
