数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：宁夏回族自治区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),403.09,380.16,345.37,306.7,248.84,204.72,157.15,107.4,69.33,34.13,5.37,,449.57,430.18,387.03,342.39,291.3,245.14,198.21,127.81,86.85,37.66,5.76,,652.84,620.38,548.4,479.55,400.42,314.79,254.31,161.71,96.99,48.68,6.5,
房地产投资累计增长(%),-10.3,-11.6,-10.8,-10.4,-14.6,-16.5,-20.7,-16,-20.2,-9.4,-6.7,,-31.1,-30.7,-29.4,-28.6,-27.3,-22.1,-22.1,-21,-10.4,-22.6,-11.4,,-10.3,-7.1,-9.7,-10.1,-6.5,1,2.2,-1,-2.4,-1.1,69.8,
房地产住宅投资累计值(亿元),281.74,267.1,244.76,214.26,172.66,139.99,105.69,71.26,48.31,24.16,4.14,,300.41,285.89,260.85,229.28,195.77,162.69,131.81,85.71,58.59,22.73,1.94,,387.75,368.41,323.61,281.14,230.15,181.83,146.17,91.71,52.29,25.36,2.99,
房地产住宅投资累计增长(%),-6.2,-6.6,-6.2,-6.5,-11.8,-14,-19.8,-16.9,-17.5,6.3,114,,-22.5,-22.4,-19.4,-18.4,-14.9,-10.5,-9.8,-6.5,12,-10.4,-35.1,,-10.9,-8.8,-12,-14,-14,-6.1,-3.8,-4.7,-8.5,-12.8,46.1,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
