数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：贵州省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),2990.81,2769.57,2471.9,2194.21,1937.88,1655.51,1404.28,1014.27,778.21,562.9,275.71,,2349.23,2196.54,1915.91,1728.81,1574.89,1387.98,1182.56,879.18,670.08,479.84,233.59,,2201,2016.42,1741.23,1557.18,1375.95,1268.3,1119.16,827.86,652.93,489.83,233.83,
房地产投资累计增长(%),27.3,26.1,29,26.9,23,19.3,18.7,15.4,16.1,17.3,18,,6.7,8.9,10,11,14.5,9.4,5.7,6.2,2.6,-2,-0.1,,2.4,0.8,-1.7,-2.5,-2.1,2.7,4.4,2.3,7.4,14.6,11.1,
房地产住宅投资累计值(亿元),2078.37,1951.14,1731.77,1540.92,1354.06,1139.56,965.3,688.44,523.15,370.23,189.08,,1557.85,1446.11,1270.9,1137.38,1031.72,903.27,756.62,569.89,433.34,309.4,146.36,,1365.33,1256.82,1086.71,973.74,859.98,790.48,692.14,513.1,403.84,304.95,142.11,
房地产住宅投资累计增长(%),33.4,34.9,36.3,35.5,31.2,26.2,27.6,20.8,20.7,19.7,29.2,,14.1,15.1,16.9,16.8,20,14.3,9.3,11.1,7.3,1.5,3,,9.8,8.7,6.7,6.1,6.3,11.2,12.7,10.8,15.5,23.6,16,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
