数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：西藏自治区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),129.56,124.1,105.24,85.79,69.53,54.75,38.05,27.34,12.02,4.57,0.5,,92.6,91.75,75.1,60.87,53.38,40.65,27.66,9.99,5.69,3.42,0.11,,40.36,38.87,34.3,28.81,21.27,19.3,17.72,10.83,5.97,3.39,0.44,
房地产投资累计增长(%),39.9,35.3,40.1,40.9,30.3,34.7,37.6,173.5,111,33.7,341.4,,129.4,136,118.9,111.3,151,110.6,56.1,-7.7,-4.6,0.8,-73.9,,-16.8,-15.7,-22.6,-28.1,-38,-20.8,1.6,5,2.5,61.3,236.2,
房地产住宅投资累计值(亿元),96.87,92.92,78.16,63.32,51.64,41.57,29.29,20.8,8.7,3.64,0.22,,49.99,46.59,35.13,26.24,20.99,16.65,11.44,3.92,2.88,1.62,0.01,,20.1,19.53,17.7,16.85,12.02,10.92,9.62,6.26,3.13,1.95,0.24,
房地产住宅投资累计增长(%),93.8,99.5,122.5,141.3,145.9,149.7,156,431.2,201.9,124.5,,,148.8,138.6,98.4,55.7,74.7,52.5,19,-37.5,-7.9,-16.6,-94.3,,-48.7,-47.5,-51.1,-48.7,-57.7,-46.4,-15.3,3.6,-24.8,25.9,,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
