数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：辽宁省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),2833.95,2763.92,2602.83,2372.82,2040.24,1769.68,1487.19,992.73,713.3,473.64,132.81,,2599.27,2502.16,2365.28,2169.2,1883.46,1616.73,1364.53,971.56,651.76,388.47,119.84,,2289.67,2261.15,2152.56,1955.7,1681.09,1418.83,1181.81,837.19,600.61,393.43,143.47,
房地产投资累计增长(%),9,10.5,10,9.4,8.3,9.5,9,2.2,9.4,21.9,10.8,,13.5,10.7,9.9,10.9,12,13.9,15.5,16.1,8.5,-1.3,-16.5,,9.3,8.8,5.2,-0.6,-8,-14.3,-17.9,-21.2,-16.8,-10.5,-1.7,
房地产住宅投资累计值(亿元),2188.35,2138.24,2013.38,1829.33,1563.39,1355.59,1150.15,773.67,548.78,358.73,103.26,,1944.46,1872.16,1770.28,1614.81,1400.06,1188.94,990.82,708.63,463.96,268.29,86.13,,1673.91,1645.63,1562.42,1420.27,1228.32,1033.03,856.92,603.91,430.78,285.39,102.95,
房地产住宅投资累计增长(%),12.5,14.2,13.7,13.3,11.7,14,16.1,9.2,18.3,33.7,19.9,,16.2,13.8,13.3,13.7,14,15.1,15.6,17.3,7.7,-6,-16.3,,11.2,10.3,6.2,0,-7.2,-13.6,-17.7,-21.6,-18.3,-11.8,-6.5,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
