数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：吉林省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),1315.52,1263.37,1164.14,1014.42,830.4,633.5,477.49,319.06,118.86,45.9,11.88,,1175.88,1129.86,1007.45,869.32,696.86,532.86,375.96,253.72,98.33,35.78,10.44,,910.14,868.3,787.66,676.66,549.78,433.8,321.28,193.65,87.3,33.05,10.12,
房地产投资累计增长(%),11.9,11.8,15.6,16.7,19.2,18.9,27,25.8,20.9,28.3,13.8,,29.2,30.1,27.9,28.5,26.8,22.8,17,31,12.6,8.2,3.1,,-10.5,-10.4,-11.3,-10,-3.9,2.3,8,4.9,2,11.2,8.2,
房地产住宅投资累计值(亿元),970.99,931.02,860.63,737.25,605.23,466.58,358.53,241.68,91.21,35.14,9.16,,841.02,804.89,732.3,639.25,513.82,390.53,274.89,183.79,70.27,25.86,8.19,,633.55,608.12,553.04,474.52,388.42,305.51,225.63,134.57,59.7,23.35,7.33,
房地产住宅投资累计增长(%),15.5,15.7,17.5,15.3,17.8,19.5,30.4,31.5,29.8,35.9,11.9,,32.7,32.4,32.4,34.7,32.3,27.8,21.8,36.6,17.7,10.8,11.8,,-10.9,-9.9,-11.1,-9.5,-0.7,5.3,11.2,7.5,5.1,12.8,7.9,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
