数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：新疆维吾尔自治区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),1074.04,1027.8,896.09,702.06,539.08,400.79,253.59,154.36,78.73,31.67,12.46,,1033.44,983.74,851.46,650.01,520.77,380.48,243.49,122.48,70.15,29.01,13.28,,1037.86,1025.09,949.04,813.43,665.33,520.71,382.13,222.41,103.47,41.44,10.92,
房地产投资累计增长(%),3.9,4.5,5.2,8,3.5,5.3,4.1,26,12.2,9.2,-6.1,,-0.4,-4,-10.3,-20.1,-21.7,-26.9,-36.3,-44.9,-32.2,-30,21.6,,12.4,13.9,15.4,12.4,11.2,10.7,14.6,1.3,0,17.4,-6.2,
房地产住宅投资累计值(亿元),724.13,692.88,599.76,469.64,362.56,268.32,168.69,100.16,48.43,21.27,8.64,,642.48,612.01,520.91,389.19,311.05,222.52,147.42,77.61,44.26,17.29,7.65,,588.25,578.49,538.23,461.18,370.52,291.58,215.84,120.64,53.23,20.98,5.55,
房地产住宅投资累计增长(%),12.7,13.2,15.1,20.7,16.6,20.6,14.4,29.1,9.4,23,12.9,,9.2,5.8,-3.2,-15.6,-16.1,-23.7,-31.7,-35.7,-16.8,-17.6,37.8,,13.4,14.4,16.2,12.3,9.4,9.6,11.7,-6.3,-13.1,14.7,-8.1,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
