数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：河南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),7464.59,6631.26,5879.16,5194.01,4499.98,3871.3,3261.12,2516.6,1818.22,1196.96,537.26,,7015.47,6226.48,5472.9,4840.23,4212.27,3664.12,3131.32,2417.75,1781.92,1138.65,511.14,,7090.25,6315.64,5603.92,4868.25,4197.71,3560.02,2965.95,2180.86,1573.97,1005.97,451.76,
房地产投资累计增长(%),6.4,6.5,7.4,7.3,6.8,5.7,4.1,4.1,2,5.1,5.1,,-1.1,-1.4,-2.3,-0.6,0.3,2.9,5.6,10.9,13.2,13.2,13.1,,14.7,15.5,17.4,18.3,19.1,20.2,22.9,24,24.7,25.2,24.4,
房地产住宅投资累计值(亿元),6055.37,5380.75,4751.96,4200.36,3647.5,3142.77,2631.9,2035.37,1452.42,955.98,425.73,,5387.62,4768.44,4172.79,3707.18,3222.63,2780.67,2365.34,1826.22,1331.32,836.03,379.83,,5330.8,4746.56,4209.94,3646.87,3134.19,2639.13,2192.82,1602.08,1154.23,735.89,335.95,
房地产住宅投资累计增长(%),12.4,12.8,13.9,13.3,13.2,13,11.3,11.5,9.1,14.3,12.1,,1.1,0.5,-0.9,1.7,2.8,5.4,7.9,14,15.3,13.6,13.1,,17,17.2,18.4,18.7,19.2,19.4,22.3,23.6,26.3,26.3,26.2,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
