数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：河北省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),4347.05,4112.55,3762.03,3400.12,2962.48,2545.56,2104.86,1369.99,953.89,591.67,177.61,,4476.4,4182.55,3844.95,3438.03,2905.76,2423.13,1963.99,1405.37,961.76,600.17,208.54,,4823.91,4580.23,4228.54,3757.59,3202.03,2702.71,2239.79,1657.59,1167.02,717.94,220.49,
房地产投资累计增长(%),-2.9,-1.7,-2.2,-1.1,2,5.1,7.2,-2.5,-0.8,-1.4,-14.8,,-7.2,-8.7,-9.1,-8.5,-9.3,-10.3,-12.3,-15.2,-17.6,-16.4,-5.4,,2.7,3.2,4,5,5.3,5.9,6.2,8.4,8.9,4.8,6.8,
房地产住宅投资累计值(亿元),3455.74,3264.14,2985.53,2697.45,2350.38,2018.07,1656.06,1087.47,756.78,467.9,136.89,,3471.11,3248.97,2984.91,2671.61,2255.2,1875.82,1522.58,1089.32,740.45,463.05,159.36,,3656.98,3475.45,3206.03,2848.51,2427.31,2047.74,1686.3,1248.05,864.65,516.42,152.91,
房地产住宅投资累计增长(%),-0.4,0.5,0,1,4.2,7.6,8.8,-0.2,2.2,1,-14.1,,-5.1,-6.5,-6.9,-6.2,-7.1,-8.4,-9.7,-12.7,-14.4,-10.3,4.2,,5.2,6.1,6.8,8,8.8,10.1,9.7,10.6,9.1,1.2,-4,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
