数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：浙江省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),10682.97,9958.1,8984.13,8055.48,6960.02,6043.04,5166.87,3921.19,2965.27,2133.88,1205.26,,9944.93,9271.7,8325.59,7454.97,6462.62,5610.39,4795.03,3569.37,2664.73,1899.54,1010.54,,8226.78,7569.48,6798.75,6043.05,5197.42,4505.42,3861.39,2926.82,2210.81,1590.98,862.04,
房地产投资累计增长(%),7.4,7.4,7.9,8.1,7.7,7.7,7.8,9.9,11.3,12.3,19.3,,20.9,22.5,22.5,23.4,24.3,24.5,24.2,22,20.5,19.4,17.2,,10.1,11.2,10.7,11,10,10.3,10.2,10.3,9.6,9.2,9.2,
房地产住宅投资累计值(亿元),7727.11,7258.21,6536.59,5869.78,5074.69,4393.13,3765.29,2829.72,2129.06,1486.95,862.2,,7156.45,6706.61,6034.17,5409,4681.47,4032.13,3413.52,2500.68,1844.45,1307.3,657.96,,5645.98,5208.47,4692.81,4158.72,3568.56,3078.16,2611.66,1998.47,1511.66,1089.34,582.76,
房地产住宅投资累计增长(%),8,8.2,8.3,8.5,8.4,9,10.3,13.2,15.4,13.7,31,,26.8,28.8,28.6,30.1,31.2,31,30.7,25.1,22,20,12.9,,17.5,18,17.7,18.7,17.7,18.9,18.7,19.9,19.9,21.6,20,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
