数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：广东省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),15852.16,14343.82,12811.89,11464.44,9820.94,8462.79,7255.6,5277.18,3922.38,2778.68,1561.05,,14412.19,12918.86,11524.11,10295.15,8869.07,7606.05,6454.56,4657.06,3461.34,2462.38,1354.25,,12075.69,10842.74,9680.48,8586.35,7329.01,6308.9,5370.26,3919.7,2856.84,2004.11,1112.53,
房地产投资累计增长(%),10,11,11.2,11.4,10.7,11.3,12.4,13.3,13.3,12.8,15.3,,19.3,19.1,19,19.9,21,20.6,20.2,18.8,21.2,22.9,21.7,,17.2,18.1,17.8,18.9,18.2,18.8,19,16.7,21.2,21.7,12.2,
房地产住宅投资累计值(亿元),10852.77,9847.35,8849.77,7949.38,6798.67,5872.79,5013.93,3644.72,2723.3,1931.94,1084.45,,9757.86,8768.7,7857.8,7058.84,6079.38,5209.77,4462.56,3194.52,2386.35,1703.16,923.12,,8100.93,7231.18,6437.4,5715.25,4881.77,4211.24,3590.15,2619.81,1908.2,1360.75,712.5,
房地产住宅投资累计增长(%),11.2,12.3,12.6,12.6,11.8,12.7,12.4,14.1,14.1,13.4,17.5,,20.5,21.3,22.1,23.5,24.5,23.7,24.3,21.9,25.1,25.2,29.6,,16.1,15.7,15,16.6,16.4,17.2,16.7,13.6,17.8,21.5,1.9,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
