数据库：分省月度数据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地区：四川省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
时间：最近36个月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
房地产投资累计值(亿元),6573.24,6011.53,5474.79,4872.45,4215.66,3615.8,3101.11,2392.65,1840.71,1308.31,736.71,,5697.87,5178.32,4657.49,4158.62,3563.38,3076.77,2646.54,2065.46,1571.11,1125.61,652.61,,5149.89,4779.9,4371.46,3977.28,3517.77,3094.62,2691.98,2137.94,1629.36,1179.46,662.38,
房地产投资累计增长(%),15.4,16.1,17.5,17.2,18.3,17.5,17.2,15.8,17.2,16.2,12.9,,10.6,8.3,6.5,4.6,1.3,-0.6,-1.7,-3.4,-3.6,-4.6,-1.5,,-2.5,-2.8,-2.7,-1.7,0.4,2,2.6,2.4,4.2,0.9,9.6,
房地产住宅投资累计值(亿元),4665.31,4268.16,3878.88,3444.56,2976.54,2549.75,2175.51,1680.81,1280.73,906.55,506.13,,3764.71,3413.73,3053.69,2719.57,2319.46,1992.43,1697.94,1322.79,1006.12,712.34,412.21,,3182.34,2943,2685.81,2438.53,2155.4,1894.56,1637.91,1306.14,999.81,728.41,416.22,
房地产住宅投资累计增长(%),23.9,25,27,26.7,28.3,28,28.1,27.1,27.3,27.3,22.8,,18.3,16,13.7,11.5,7.6,5.2,3.7,1.3,0.6,-2.2,-1,,-0.1,-0.4,-0.2,0.8,3.4,4.8,5.6,4.9,7.3,4.4,13.1,
数据来源：国家统计局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
