地区,指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
福建,房地产投资累计增长(%),14.8,16.2,16.1,16.8,17.1,17.3,17.5,19,19.6,17.8,17.8,,3,3.1,3.1,4.1,2.8,3.3,1.6,5.6,5.5,3,0.3,,4.5,4.2,4.9,2.4,1.7,2.2,2.2,-0.9,0.4,-1.7,-7.9,
福建,房地产住宅投资累计值(亿元),4076.31,3787.25,3447.37,3112.51,2688.41,2362.13,2016.74,1583.76,1241.31,892.9,456.85,,3456.86,3153.12,2867.59,2576.23,2228.65,1957.43,1652.49,1288.26,1020.41,746.84,368.71,,3236.51,2957.02,2683.36,2390.76,2089.25,1806.35,1557.69,1136.81,916.77,697.89,356.79,
福建,房地产住宅投资累计增长(%),17.9,20.1,20.2,20.8,20.6,20.7,22,22.9,21.6,19.6,23.9,,6.8,6.6,6.9,7.8,6.7,8.4,6.1,13.3,11.3,7,3.3,,7.9,7.6,8.9,7.1,6.9,6.4,4,-2.2,1.6,-1.5,-6.8,
吉林,房地产投资累计值(亿元),1315.52,1263.37,1164.14,1014.42,830.4,633.5,477.49,319.06,118.86,45.9,11.88,,1175.88,1129.86,1007.45,869.32,696.86,532.86,375.96,253.72,98.33,35.78,10.44,,910.14,868.3,787.66,676.66,549.78,433.8,321.28,193.65,87.3,33.05,10.12,
吉林,房地产投资累计增长(%),11.9,11.8,15.6,16.7,19.2,18.9,27,25.8,20.9,28.3,13.8,,29.2,30.1,27.9,28.5,26.8,22.8,17,31,12.6,8.2,3.1,,-10.5,-10.4,-11.3,-10,-3.9,2.3,8,4.9,2,11.2,8.2,
吉林,房地产住宅投资累计值(亿元),970.99,931.02,860.63,737.25,605.23,466.58,358.53,241.68,91.21,35.14,9.16,,841.02,804.89,732.3,639.25,513.82,390.53,274.89,183.79,70.27,25.86,8.19,,633.55,608.12,553.04,474.52,388.42,305.51,225.63,134.57,59.7,23.35,7.33,
吉林,房地产住宅投资累计增长(%),15.5,15.7,17.5,15.3,17.8,19.5,30.4,31.5,29.8,35.9,11.9,,32.7,32.4,32.4,34.7,32.3,27.8,21.8,36.6,17.7,10.8,11.8,,-10.9,-9.9,-11.1,-9.5,-0.7,5.3,11.2,7.5,5.1,12.8,7.9,
四川,房地产投资累计值(亿元),6573.24,6011.53,5474.79,4872.45,4215.66,3615.8,3101.11,2392.65,1840.71,1308.31,736.71,,5697.87,5178.32,4657.49,4158.62,3563.38,3076.77,2646.54,2065.46,1571.11,1125.61,652.61,,5149.89,4779.9,4371.46,3977.28,3517.77,3094.62,2691.98,2137.94,1629.36,1179.46,662.38,
四川,房地产投资累计增长(%),15.4,16.1,17.5,17.2,18.3,17.5,17.2,15.8,17.2,16.2,12.9,,10.6,8.3,6.5,4.6,1.3,-0.6,-1.7,-3.4,-3.6,-4.6,-1.5,,-2.5,-2.8,-2.7,-1.7,0.4,2,2.6,2.4,4.2,0.9,9.6,
四川,房地产住宅投资累计值(亿元),4665.31,4268.16,3878.88,3444.56,2976.54,2549.75,2175.51,1680.81,1280.73,906.55,506.13,,3764.71,3413.73,3053.69,2719.57,2319.46,1992.43,1697.94,1322.79,1006.12,712.34,412.21,,3182.34,2943,2685.81,2438.53,2155.4,1894.56,1637.91,1306.14,999.81,728.41,416.22,
四川,房地产住宅投资累计增长(%),23.9,25,27,26.7,28.3,28,28.1,27.1,27.3,27.3,22.8,,18.3,16,13.7,11.5,7.6,5.2,3.7,1.3,0.6,-2.2,-1,,-0.1,-0.4,-0.2,0.8,3.4,4.8,5.6,4.9,7.3,4.4,13.1,
云南,房地产投资累计值(亿元),4151.41,3658.06,3200.21,2843.93,2407.85,2043.45,1729.11,1313.43,993.7,740.48,337.58,,3247.23,2915.67,2576.96,2192.86,1832.35,1598.34,1342.21,989.21,779.86,571.71,265.39,,2786.25,2552.29,2234.3,1935.99,1644.1,1430.24,1224.33,911.42,705.44,502.78,242.92,
云南,房地产投资累计增长(%),27.8,25.5,24.2,29.7,31.4,27.8,28.8,32.8,27.4,29.5,27.2,,16.5,14.2,15.3,13.3,11.5,11.8,9.6,8.5,10.5,13.7,9.3,,3.6,4.7,5,0.9,-1.6,-3.4,-2.5,2.1,1.4,3.6,1,
云南,房地产住宅投资累计值(亿元),3028.96,2685.96,2352.36,2091.52,1769.01,1479.28,1254.05,957.4,722.26,541.51,246.9,,2115.17,1885.88,1645.41,1388.54,1164.28,1014.23,836.21,618.25,482.68,350.1,167.77,,1743.91,1577.17,1371.48,1188.29,994.11,867.7,737.63,541.33,414.34,292.29,139.12,
云南,房地产住宅投资累计增长(%),43.2,42.4,43,50.6,51.9,45.9,50,54.9,49.6,54.7,47.2,,21.3,19.6,20,16.9,17.1,16.9,13.4,14.2,16.5,19.8,20.6,,6.6,6.5,5.5,1.3,-3.1,-5.2,-7.5,-4.9,-5.2,-4.9,-9.4,
安徽,房地产投资累计值(亿元),6670.48,6160.13,5722.98,5278.95,4671.79,4022.94,3387.07,2640.37,1945.61,1315.92,706.07,,5974.11,5538.02,5161.66,4748.56,4208.32,3623.83,3067.76,2405.6,1782.42,1222.83,650.86,,5612.47,5075.51,4594.42,4085.37,3495.25,2955.72,2503.8,1966.51,1464.29,997.49,535.17,
安徽,房地产投资累计增长(%),11.7,11.2,10.9,11.2,11,11,10.4,9.8,9.2,7.6,8.5,,6.4,9.1,12.3,16.2,20.4,22.6,22.5,22.3,21.7,22.6,21.6,,21.9,22.3,21.6,20.9,17.8,14.5,14.3,15,13.7,8.9,7.1,
安徽,房地产住宅投资累计值(亿元),5248.06,4840.86,4496.7,4149.05,3636.22,3126.84,2630.12,2046.1,1496.64,1013.69,539.48,,4563.41,4228.17,3940.08,3612.64,3184.06,2721.85,2292.08,1791.77,1319.72,896.61,481.47,,4007,3627.71,3293.2,2927.48,2479.92,2092.38,1754.42,1359.15,999.19,684.03,364.58,
安徽,房地产住宅投资累计增长(%),15,14.5,14.1,14.8,14.2,14.9,14.7,14.2,13.4,13.1,12,,13.9,16.6,19.6,23.4,28.4,30.1,30.6,31.8,32.1,31.1,32.1,,30.5,31.5,32.8,32.6,27.2,22.8,20.9,20,16.5,16.2,12.8,
重庆,房地产投资累计值(亿元),4439.3,4034.95,3669.24,3321.82,2829.97,2454.17,2127.93,1634.12,1236.6,878.23,477.2,,4248.76,3861.25,3469.47,3134.65,2632.02,2272.61,1967.85,1461.72,1099.66,798.12,413.64,,3980.08,3575.3,3193.17,2880.42,2427.33,2085.12,1789.24,1333.59,1015.95,740.66,392.87,
重庆,房地产投资累计增长(%),4.5,4.5,5.8,6,7.5,8,8.1,11.8,12.5,10,15.4,,6.8,8,8.7,8.8,8.4,9,10,9.6,8.2,7.8,5.3,,6.8,7.9,7.7,7.5,6.4,4.6,3.8,0.9,0.4,-0.8,-1.8,
重庆,房地产住宅投资累计值(亿元),3246.77,2960.86,2684.54,2415.76,2056.73,1768.27,1531.94,1180.57,879.72,612.92,346.02,,3012.65,2765.18,2486.85,2247.11,1867.11,1615.4,1393.29,1026.32,756.99,543.5,259.22,,2632.88,2355,2106.48,1894.67,1603.43,1359.64,1167.52,872.34,645.3,474.62,242,
重庆,房地产住宅投资累计增长(%),7.8,7.1,7.9,7.5,10.2,9.5,10,15,16.2,12.8,33.5,,14.4,17.4,18.1,18.6,16.4,18.8,19.3,17.7,17.3,14.5,7.1,,13.5,15.2,15.3,14.8,14.2,10.3,10,7.2,5.6,7.6,0.6,
贵州,房地产投资累计值(亿元),2990.81,2769.57,2471.9,2194.21,1937.88,1655.51,1404.28,1014.27,778.21,562.9,275.71,,2349.23,2196.54,1915.91,1728.81,1574.89,1387.98,1182.56,879.18,670.08,479.84,233.59,,2201,2016.42,1741.23,1557.18,1375.95,1268.3,1119.16,827.86,652.93,489.83,233.83,
贵州,房地产投资累计增长(%),27.3,26.1,29,26.9,23,19.3,18.7,15.4,16.1,17.3,18,,6.7,8.9,10,11,14.5,9.4,5.7,6.2,2.6,-2,-0.1,,2.4,0.8,-1.7,-2.5,-2.1,2.7,4.4,2.3,7.4,14.6,11.1,
贵州,房地产住宅投资累计值(亿元),2078.37,1951.14,1731.77,1540.92,1354.06,1139.56,965.3,688.44,523.15,370.23,189.08,,1557.85,1446.11,1270.9,1137.38,1031.72,903.27,756.62,569.89,433.34,309.4,146.36,,1365.33,1256.82,1086.71,973.74,859.98,790.48,692.14,513.1,403.84,304.95,142.11,
贵州,房地产住宅投资累计增长(%),33.4,34.9,36.3,35.5,31.2,26.2,27.6,20.8,20.7,19.7,29.2,,14.1,15.1,16.9,16.8,20,14.3,9.3,11.1,7.3,1.5,3,,9.8,8.7,6.7,6.1,6.3,11.2,12.7,10.8,15.5,23.6,16,
湖南,房地产投资累计值(亿元),4445.47,4005.53,3576.93,3130.85,2653.36,2220.38,1867.66,1389.01,1032.57,686.88,370.97,,3945.95,3531.17,3142.87,2738.47,2314.56,1930.29,1614.93,1186.25,878.22,598.71,316.45,,3426.13,3060.06,2701.52,2368.03,2031.56,1734.03,1466.42,1071.89,770.77,525.34,281.51,
湖南,房地产投资累计增长(%),12.7,13.4,13.8,14.3,14.6,15,15.6,17.1,17.6,14.7,17.2,,15.2,15.4,16.3,15.6,13.9,11.3,10.1,10.7,13.9,14,12.4,,15.9,15,15.4,14.9,15.9,15.1,14.7,15.2,10.1,4.5,12.8,
湖南,房地产住宅投资累计值(亿元),3197.35,2866.7,2547.7,2214.21,1878.77,1568.38,1309.76,977.37,716.61,483.29,262.43,,2764.48,2458.84,2183.41,1897.41,1599,1337.15,1115.29,811.53,604.33,407.33,217.11,,2194.41,1941.72,1694.03,1467.66,1248.96,1082.22,902.77,666.54,487.49,345.02,186.67,
湖南,房地产住宅投资累计增长(%),15.7,16.6,16.7,16.7,17.5,17.3,17.4,20.4,18.6,18.6,20.9,,26,26.6,28.9,29.3,28,23.6,23.5,21.8,24,18.1,16.3,,17.3,15.3,14.2,11.8,11.4,11.5,8.2,7,4,3.7,9.2,
海南,房地产投资累计值(亿元),1336.18,1141.97,987.27,863.35,753.87,659.52,565.33,453.65,358.55,270.43,148.72,,1715.04,1525.03,1339.35,1200.83,1087.28,957.84,823.86,677.14,543.59,413.54,229.91,,2053.11,1748.68,1568.5,1414.62,1251.97,1052.18,893.15,659.23,487.72,355.17,202.74,
海南,房地产投资累计增长(%),-22.1,-25.1,-26.3,-28.1,-30.7,-31.1,-31.4,-33,-34,-34.6,-35.3,,-16.5,-12.8,-14.6,-15.1,-13.2,-9,-7.8,2.7,11.5,16.4,13.4,,14.9,10.5,11,11.5,14.1,9.7,10.3,7.8,10.4,13.3,14,
海南,房地产住宅投资累计值(亿元),1034.86,884.32,761.34,654.42,574.53,501.55,434.37,354.78,282.08,211.04,116.11,,1310.51,1183.51,1037.47,932.91,841.04,738.24,630.95,518.83,417.03,312.79,177.61,,1477.53,1256.98,1120.68,1000.33,886.29,760.38,651.43,499.82,378.36,274.51,151.39,
海南,房地产住宅投资累计增长(%),-21,-25.3,-26.6,-29.9,-31.7,-32.1,-31.2,-31.6,-32.4,-32.5,-34.6,,-11.3,-5.8,-7.4,-6.7,-5.1,-2.9,-3.1,3.8,10.2,13.9,17.3,,12.1,8.2,7.7,6.4,8.2,4.9,5.8,9.5,14.7,20,23.5,
湖北,房地产投资累计值(亿元),5111.73,4699.57,4356.88,3927.55,3432.74,2969.17,2599.74,1856.9,1432,978.39,421.12,,4693.12,4303.29,3991.96,3608.69,3177.43,2757.34,2409.34,1714.57,1317.01,915.49,394.4,,4574.89,4231.61,3813.01,3448.34,2975.05,2567.73,2220.14,1547.73,1162.96,806.53,367.12,
湖北,房地产投资累计增长(%),8.9,9.2,9.1,8.8,8,7.7,7.9,8.3,8.7,6.9,6.8,,2.6,1.7,4.7,4.7,6.8,7.4,8.5,10.8,13.2,13.5,7.4,,6.5,8.6,8.4,8.6,8.1,8.8,13.3,14.1,15.2,15.5,13.1,
湖北,房地产住宅投资累计值(亿元),3954.72,3620.95,3360.09,3020.06,2637.94,2266.8,1963.91,1415.85,1084.44,742.68,321.99,,3464.59,3156.43,2933.09,2627.79,2311.07,1999.58,1736.96,1257.26,951.75,653.25,280.78,,3235.42,2994.54,2675.74,2420.27,2083.61,1798.72,1553.76,1086.42,816.92,550.55,264.9,
湖北,房地产住宅投资累计增长(%),14.1,14.7,14.6,14.9,14.1,13.4,13.1,12.6,13.9,13.7,14.7,,7.1,5.4,9.6,8.6,10.9,11.2,11.8,15.7,16.5,18.7,6,,7.4,10.2,8.2,8.1,6.9,7.7,11.3,12.1,11.7,6.9,10.4,
江西,房地产投资累计值(亿元),2239.11,2083.23,1895.22,1709.74,1477.49,1247.72,1025.11,816.08,623.9,440.9,241.04,,2174.93,2019.53,1818.39,1620.73,1378.77,1173.11,973.01,750.06,569.87,405.5,226.95,,2013.98,1839.79,1660.02,1479.97,1265.73,1083.58,906.41,706.41,530.78,386.59,217.04,
江西,房地产投资累计增长(%),3,3.2,4.2,5.5,7.2,6.4,5.4,8.8,9.5,8.7,6.2,,8,9.8,9.5,9.5,8.9,8.3,7.3,6.2,7.4,4.9,4.6,,13.7,14.6,15.5,15.4,16,17.9,18,18.4,20.5,23.8,14.4,
江西,房地产住宅投资累计值(亿元),1687.18,1572.67,1425.36,1288.02,1103.02,937.37,772.44,612.71,466.36,327.95,178.45,,1590.64,1478.45,1332.15,1180.84,994.09,844.61,707.02,538.49,403.47,284.78,154.43,,1391.79,1271.35,1145.19,1016.62,863.1,736.94,619.04,485.28,365.13,270.21,148.92,
江西,房地产住宅投资累计增长(%),6.1,6.4,7,9.1,11,11,9.3,13.8,15.6,15.2,15.6,,14.3,16.3,16.3,16.2,15.2,14.6,14.2,11,10.5,5.4,3.7,,11.6,11.9,12.5,12.4,12.8,14.7,14.1,14.7,17.5,22.3,11.1,
广东,房地产投资累计值(亿元),15852.16,14343.82,12811.89,11464.44,9820.94,8462.79,7255.6,5277.18,3922.38,2778.68,1561.05,,14412.19,12918.86,11524.11,10295.15,8869.07,7606.05,6454.56,4657.06,3461.34,2462.38,1354.25,,12075.69,10842.74,9680.48,8586.35,7329.01,6308.9,5370.26,3919.7,2856.84,2004.11,1112.53,
广东,房地产投资累计增长(%),10,11,11.2,11.4,10.7,11.3,12.4,13.3,13.3,12.8,15.3,,19.3,19.1,19,19.9,21,20.6,20.2,18.8,21.2,22.9,21.7,,17.2,18.1,17.8,18.9,18.2,18.8,19,16.7,21.2,21.7,12.2,
广东,房地产住宅投资累计值(亿元),10852.77,9847.35,8849.77,7949.38,6798.67,5872.79,5013.93,3644.72,2723.3,1931.94,1084.45,,9757.86,8768.7,7857.8,7058.84,6079.38,5209.77,4462.56,3194.52,2386.35,1703.16,923.12,,8100.93,7231.18,6437.4,5715.25,4881.77,4211.24,3590.15,2619.81,1908.2,1360.75,712.5,
广东,房地产住宅投资累计增长(%),11.2,12.3,12.6,12.6,11.8,12.7,12.4,14.1,14.1,13.4,17.5,,20.5,21.3,22.1,23.5,24.5,23.7,24.3,21.9,25.1,25.2,29.6,,16.1,15.7,15,16.6,16.4,17.2,16.7,13.6,17.8,21.5,1.9,
