地区,指标,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月
黑龙江,房地产住宅投资累计值(亿元),687.83,655.15,598.17,522.4,398.48,323.4,252.15,145.31,65.5,19.88,1.6,,647.77,616.89,546.47,459.97,353.4,272.57,199.69,105.59,47.91,15.81,1.2,,554.7,527.5,460.58,388.47,297.72,230.64,165.06,91.4,39.74,10.99,1.72,
黑龙江,房地产住宅投资累计增长(%),6.2,6.2,9.5,13.6,12.8,18.6,26.3,37.6,36.7,25.7,33.4,,16.8,16.9,18.6,18.4,18.7,18.2,21,15.5,20.6,44,-30.2,,-7.2,-5.1,-5.5,-4.2,-8.1,-12.5,-16,-9,7.3,11.3,-6.1,
甘肃,房地产投资累计值(亿元),1257.85,1172.47,1055.73,923.19,739.76,604.99,480.02,304.92,185.4,106.34,34.42,,1116.39,1054.72,965.85,849.49,696.83,572.87,461.23,267.62,167.73,89.1,28.93,,944.52,894.73,818.51,719.2,625.96,520.54,415.9,260.33,140.58,73.07,21.82,
甘肃,房地产投资累计增长(%),12.7,11.2,9.3,8.7,6.2,5.6,4.1,13.9,10.5,19.3,19,,18.2,17.9,18,18.1,11.3,10.1,10.9,2.8,19.3,21.9,32.5,,11.1,12.5,12.8,15.1,19.1,19.3,18.7,16.9,7.9,7.1,10.6,
甘肃,房地产住宅投资累计值(亿元),865.93,808.64,721.07,624.97,492.97,397.73,312.21,199.68,123.38,69.08,21.55,,672.35,636.85,578.59,506.58,417.07,343.88,274.9,160.54,98.95,52.11,16.6,,601.25,570.41,524.47,462.16,402.76,336.05,264.93,168.59,90.63,46.8,13.83,
甘肃,房地产住宅投资累计增长(%),28.8,27,24.6,23.4,18.2,15.7,13.6,24.4,24.7,32.6,29.8,,11.8,11.6,10.3,9.6,3.6,2.3,3.8,-4.8,9.2,11.3,20,,6.7,7.6,8.1,9.8,12.9,14,11.1,10.4,-1.2,-4.5,7.2,
江苏,房地产投资累计值(亿元),12009.35,11202.58,10226.99,9239.16,8139.47,7150.06,6090.86,4927.49,3803.35,2732.1,1511.82,,10982.34,10300.57,9447.66,8625.22,7580.55,6699.18,5653.34,4632.74,3526.89,2603.65,1467.79,,9629.11,8877.99,8112.45,7333.46,6446.31,5658.05,4847.89,3884.43,2952.29,2176.34,1277.4,
江苏,房地产投资累计增长(%),9.4,8.8,8.2,7.1,7.4,6.7,7.7,6.4,7.8,4.9,3,,14.1,16,16.5,17.6,17.6,18.4,16.6,19.3,19.5,19.6,14.9,,7.5,7.4,8.4,9.7,9.7,8.8,7.8,10.1,9.8,9.8,10,
江苏,房地产住宅投资累计值(亿元),9461.98,8832.27,8049.23,7257.65,6390.22,5609.78,4773.64,3864.42,2965.13,2140.04,1176.89,,8366.18,7862.72,7194.77,6568.3,5753.07,5069.01,4254.93,3479.82,2627.6,1926.28,1090.29,,7315.28,6729.45,6147.74,5548.33,4876.23,4269.01,3646.71,2907.76,2202.5,1629.04,950.42,
江苏,房地产住宅投资累计增长(%),13.1,12.3,11.9,10.5,11.1,10.7,12.2,11.1,12.8,11.1,7.9,,14.4,16.8,17,18.4,18,18.7,16.7,19.7,19.3,18.2,14.7,,10.4,9.9,11.4,12.6,12.6,11.5,10.7,12.4,11.2,11.7,11.1,
山东,房地产投资累计值(亿元),8614.89,7948.48,7179.87,6384.89,5588.14,4854.95,4072.71,3069.68,2265.87,1543.5,766.1,,7552.97,6921.89,6250.46,5590.83,4888.04,4243.9,3550.31,2641.13,1933.81,1287,615,,6637.25,6122.99,5570.35,4985.28,4347.29,3789.44,3197.55,2385.71,1751.4,1159.6,573.15,
山东,房地产投资累计增长(%),14.1,14.8,14.9,14.2,14.3,14.4,14.7,16.2,17.2,19.9,24.6,,13.8,13,12.2,12.1,12.4,12,11,10.7,10.4,11,7.3,,5,7.4,8.6,8.8,9.5,9.8,10.1,9.6,9.4,9.5,8.7,
山东,房地产住宅投资累计值(亿元),6672.22,6142.64,5545.87,4931.82,4310.1,3731.27,3119.67,2348.37,1730.5,1184.65,578.55,,5717.52,5242.33,4727.29,4218.13,3687.72,3188.25,2660.81,1984.01,1454.25,964.9,453.48,,4929.53,4538.7,4112.25,3683.2,3205.01,2790.44,2343.28,1737.77,1269.74,847.31,424.92,
山东,房地产住宅投资累计增长(%),16.7,17.2,17.3,16.9,16.9,17,17.2,18.4,19,22.8,27.6,,16,15.5,15,14.5,15.1,14.3,13.6,14.2,14.5,13.9,6.7,,5.1,7.6,8.5,9.3,10.4,10.9,11.1,8.3,7,9.9,9.5,
